timestamp,X,Y,Z
1764067954927,-0.001638,0.003535,0.000349
1764067954937,-0.003857,0.001294,-0.002094
1764067954947,-0.000783,0.001618,-0.000983
1764067954957,-0.001824,-0.000134,0.000038
1764067954967,0.004253,-0.001223,0.001307
1764067954977,-0.00121,0.002535,0.001514
1764067954987,0.000066,0.00152,-0.00041
1764067954997,-0.001182,0.002107,0.000412
1764067955007,-0.002173,0.00037,0.001022
1764067955017,-0.000069,0.002384,0.001519
1764067955028,-0.001499,-0.000322,0.001653
1764067955038,-0.001158,0.00237,0.001406
1764067955048,-0.000747,0.001944,-0.00003
1764067955058,-0.000166,0.001624,-0.000211
1764067955068,0.002117,0.001039,-0.000296
1764067955078,-0.001616,0.003418,0.000916
1764067955088,-0.001727,0.003274,0.001933
1764067955098,0.000474,0.000387,0.002055
1764067955108,-0.001197,0.002861,0.001451
1764067955118,0.000389,0.00315,0.000029
1764067955128,-0.004841,-0.00025,0.000336
1764067955138,-0.002712,0.003421,-0.001076
1764067955148,-0.000391,0.00186,0.000501
1764067955159,-0.002341,-0.000897,-0.001108
1764067955169,0.002426,0.002503,-0.001586
1764067955179,-0.002626,0.001318,0.001906
1764067955189,0.000418,0.002037,-0.001144
1764067955199,0.000277,0.001289,0.00129
1764067955209,-0.003904,0.00127,-0.002186
1764067955219,0.000711,-0.000478,0.000084
1764067955229,-0.000813,0.000615,-0.000495
1764067955239,-0.003609,0.002831,-0.00097
1764067955249,-0.001207,-0.000402,0.001764
1764067955259,-0.003397,0.001188,0.003384
1764067955269,-0.001166,-0.000174,-0.000635
1764067955279,-0.00374,0.001754,0.000269
1764067955289,-0.001667,-0.001025,0.000919
1764067955300,0.000343,0.002506,0.001202
1764067955310,-0.000463,0.001852,0.000309
1764067955320,0.000047,-0.000548,0.001277
1764067955330,-0.002807,0.000497,0.002536
1764067955340,-0.004782,0.000613,0.00072
1764067955350,-0.001209,0.001785,0.000258
1764067955360,-0.002902,-0.000899,0.000607
1764067955370,-0.002141,0.001188,0.00208
1764067955380,-0.000441,0.002559,0.001458
1764067955390,-0.002954,-0.000007,0.002429
1764067955400,-0.000772,0.001004,-0.000597
1764067955410,-0.001452,-0.001128,-0.001585
1764067955420,-0.004247,0.00359,0.000537
1764067955430,0.002977,-0.000732,0.002476
1764067955441,-0.002768,-0.000322,-0.000018
1764067955451,-0.001267,0.000981,-0.001149
1764067955461,-0.002113,0.001833,-0.00176
1764067955471,-0.000607,0.001626,-0.000461
1764067955481,0.001256,0.002086,0.000559
1764067955491,0.000966,0.001309,-0.00163
1764067955501,0.000132,0.004021,-0.002217
1764067955511,-0.001003,0.00424,-0.000152
1764067955521,0.003,0.002153,0.003022
1764067955531,-0.001822,0.001034,-0.001121
1764067955541,-0.001267,0.003519,-0.001412
1764067955551,-0.001015,0.001372,-0.001282
1764067955561,0.000267,0.001669,-0.001262
1764067955572,0.000848,-0.001048,0.000484
1764067955582,-0.001849,0.000904,-0.001552
1764067955592,-0.00028,0.001598,-0.000511
1764067955602,-0.001969,0.005066,0.000588
1764067955612,0.000162,0.001213,0.000145
1764067955622,-0.003512,0.002199,0.000753
1764067955632,0.000776,0.00129,0.000625
1764067955642,-0.00062,-0.000075,0.001161
1764067955652,0.000227,0.003541,-0.000832
1764067955662,0.001032,0.001651,-0.00096
1764067955672,-0.006258,0.002267,-0.003369
1764067955682,0.001,0.003474,-0.000367
1764067955692,-0.002654,0.002485,0.000142
1764067955702,-0.001849,0.00392,-0.000328
1764067955713,0.003521,0.002665,0.000517
1764067955723,-0.001787,-0.000452,-0.000685
1764067955733,-0.000991,0.003655,-0.000276
1764067955743,-0.002101,0.001492,0.001448
1764067955753,-0.000431,-0.000395,-0.00134
1764067955763,-0.001376,0.003508,0.000429
1764067955773,0.001541,0.00296,-0.000261
1764067955783,-0.00148,0.001895,-0.001934
1764067955793,-0.002505,0.003462,-0.000286
1764067955803,0.000408,0.003458,-0.000339
1764067955813,-0.001431,0.00092,0.000566
1764067955823,0.001637,-0.000422,0.001219
1764067955833,-0.007293,-0.001327,-0.000202
1764067955843,-0.006696,-0.001113,-0.002803
1764067955854,-0.003526,0.000811,-0.001184
1764067955864,-0.003206,0.002501,-0.002355
1764067955874,-0.006099,0.003547,-0.003278
1764067955884,-0.00217,0.001638,-0.001052
1764067955894,0.000497,0.001041,0.000066
1764067955904,0.003343,0.000218,0.000747
1764067955914,0.00365,0.005088,0.001037
1764067955924,0.00078,0.002076,-0.002056
1764067955934,0.003651,0.00056,0.001409
1764067955944,-0.001921,0.002284,-0.000935
1764067955954,-0.000731,-0.001561,0.000472
1764067955964,-0.006692,0.001421,-0.000911
1764067955974,-0.005193,0.000121,0.000204
1764067955984,-0.005086,-0.002648,0.001328
1764067955995,-0.006588,-0.000064,0.001125
1764067956005,0.000377,0.001053,0.0013
1764067956015,0.000375,0.004494,0.000074
1764067956025,-0.002113,0.001734,-0.001128
1764067956035,0.000475,0.000816,-0.001406
1764067956045,-0.000359,0.001778,-0.000715
1764067956055,-0.003507,0.001349,-0.002637
1764067956065,-0.003246,0.002176,0.001679
1764067956075,-0.000587,0.000547,0.001997
1764067956085,-0.003454,0.003604,-0.002453
1764067956095,-0.004772,0.002797,-0.000552
1764067956105,0.000405,0.003583,0.001807
1764067956115,0.001415,0.004626,0.001983
1764067956126,0.001057,0.001851,0.001251
1764067956136,0.012482,0.004659,0.067949
1764067956146,-0.00443,0.004523,0.069143
1764067956156,0.005181,0.001434,-0.062495
1764067956166,-0.005351,0.001904,-0.135637
1764067956176,-0.001013,-0.00214,-0.119207
1764067956186,0.000531,0.003316,-0.066602
1764067956196,-0.000193,0.007553,-0.055011
1764067956206,-0.000812,0.0126,-0.063193
1764067956216,-0.001056,0.000323,-0.059817
1764067956226,-0.006307,0.003274,-0.071756
1764067956236,-0.009779,-0.000557,-0.077493
1764067956246,-0.004126,0.001189,-0.052943
1764067956256,-0.000726,0.024826,-0.046104
1764067956267,-0.000389,-0.007373,-0.047888
1764067956277,0.007236,-0.009165,-0.026135
1764067956287,0.001871,0.000611,-0.017125
1764067956297,0.002948,0.015181,-0.02314
1764067956307,-0.003588,0.004196,-0.032553
1764067956317,-0.011131,0.003815,-0.039044
1764067956327,0.000504,-0.009555,-0.039993
1764067956337,0.000709,0.015433,-0.041835
1764067956347,0.001776,0.016414,-0.048712
1764067956357,-0.004215,-0.00758,-0.069975
1764067956367,-0.004259,0.022187,-0.062672
1764067956377,-0.002738,0.003997,-0.044283
1764067956387,0.006079,-0.01066,-0.04355
1764067956397,-0.002812,0.008539,-0.070383
1764067956408,0.009447,-0.003071,-0.098404
1764067956418,0.003629,-0.002723,-0.090993
1764067956428,0.000928,0.005602,-0.102337
1764067956438,0.005208,0.003833,-0.103391
1764067956448,-0.003837,-0.010778,-0.116515
